Ref_CARHYCE;Code_station_SANDRE;Rang_Strahler
carhyce_ref_armo;3241957;6
carhyce_ref_armo;3246000;4
carhyce_ref_armo;3248401;3
carhyce_ref_armo;3250430;5
carhyce_ref_armo;3250797;4
carhyce_ref_armo;3253780;4
carhyce_ref_armo;3255180;3
carhyce_ref_armo;3261600;3
carhyce_ref_armo;3264965;4
carhyce_ref_armo;3265710;4
carhyce_ref_armo;3265993;4
carhyce_ref_armo;3269438;3
carhyce_ref_armo;3270000;5
carhyce_ref_armo;3271415;4
carhyce_ref_armo;4082740;4
carhyce_ref_armo;4098500;3
carhyce_ref_armo;4100980;4
carhyce_ref_armo;4101500;5
carhyce_ref_armo;4113050;4
carhyce_ref_armo;4119750;5
carhyce_ref_armo;4123750;7
carhyce_ref_armo;4123760;4
carhyce_ref_armo;4123800;6
carhyce_ref_armo;4124875;3
carhyce_ref_armo;4124985;5
carhyce_ref_armo;4125500;4
carhyce_ref_armo;4137995;6
carhyce_ref_armo;4146418;3
carhyce_ref_armo;4156200;4
carhyce_ref_armo;4160250;5
carhyce_ref_armo;4167815;3
carhyce_ref_armo;4171670;4
carhyce_ref_armo;4172570;4
carhyce_ref_armo;4172860;4
carhyce_ref_armo;4173100;7
carhyce_ref_armo;4173405;2
carhyce_ref_armo;4173737;4
carhyce_ref_armo;4174250;4
carhyce_ref_armo;4174520;4
carhyce_ref_armo;4174660;4
carhyce_ref_armo;4175450;4
carhyce_ref_armo;4177320;2
carhyce_ref_armo;4178103;5
carhyce_ref_armo;4178455;6
carhyce_ref_armo;4178850;3
carhyce_ref_armo;4179565;4
carhyce_ref_armo;4179690;4
carhyce_ref_armo;4180100;4
carhyce_ref_armo;4184830;4
carhyce_ref_armo;4186700;4
carhyce_ref_armo;4187500;4
carhyce_ref_armo;4187500;4
carhyce_ref_armo;4187710;5
carhyce_ref_armo;4190650;3
carhyce_ref_armo;4192550;4
carhyce_ref_armo;4192950;4
carhyce_ref_armo;4194500;4
carhyce_ref_armo;4199078;4
carhyce_ref_armo;4199370;4
carhyce_ref_armo;4199490;4
carhyce_ref_armo;4200595;5
carhyce_ref_armo;4201185;3
carhyce_ref_armo;4211550;5
carhyce_ref_armo;4214295;4
carhyce_ref_armo;4214495;5
